            table_name            |        column_name         |        data_type         
 subscription_plans               | subtitle                   | character varying
 subscription_plans               | price_amount               | numeric
 subscription_plans               | currency                   | character varying
 subscription_plans               | duration_unit              | character varying
 subscription_plans               | duration_value             | bigint
 subscription_plans               | custom_seconds             | bigint
 subscription_plans               | enabled                    | boolean
 subscription_plans               | sort_order                 | bigint
 subscription_plans               | stripe_price_id            | character varying
 subscription_plans               | creem_product_id           | character varying
 subscription_plans               | max_purchase_per_user      | bigint
 subscription_plans               | upgrade_group              | character varying
 subscription_plans               | total_amount               | bigint
 subscription_plans               | quota_reset_period         | character varying
 subscription_plans               | quota_reset_custom_seconds | bigint
 subscription_plans               | created_at                 | bigint
 subscription_plans               | updated_at                 | bigint
 subscription_pre_consume_records | id                         | bigint
 subscription_pre_consume_records | request_id                 | character varying
 subscription_pre_consume_records | user_id                    | bigint
 subscription_pre_consume_records | user_subscription_id       | bigint
 subscription_pre_consume_records | pre_consumed               | bigint
 subscription_pre_consume_records | status                     | character varying
 subscription_pre_consume_records | created_at                 | bigint
 subscription_pre_consume_records | updated_at                 | bigint
 tasks                            | id                         | bigint
 tasks                            | created_at                 | bigint
 tasks                            | updated_at                 | bigint
 tasks                            | task_id                    | character varying
 tasks                            | platform                   | character varying
 tasks                            | user_id                    | bigint
 tasks                            | group                      | character varying
 tasks                            | channel_id                 | bigint
 tasks                            | quota                      | bigint
 tasks                            | action                     | character varying
 tasks                            | status                     | character varying
 tasks                            | fail_reason                | text
 tasks                            | submit_time                | bigint
 tasks                            | start_time                 | bigint
 tasks                            | finish_time                | bigint
 tasks                            | progress                   | character varying
 tasks                            | properties                 | json
 tasks                            | private_data               | json
 tasks                            | data                       | json
 tokens                           | id                         | bigint
 tokens                           | user_id                    | bigint
 tokens                           | key                        | character varying
 tokens                           | status                     | bigint
 tokens                           | name                       | text
 tokens                           | created_time               | bigint
 tokens                           | accessed_time              | bigint
 tokens                           | expired_time               | bigint
 tokens                           | remain_quota               | bigint
 tokens                           | unlimited_quota            | boolean
 tokens                           | model_limits_enabled       | boolean
 tokens                           | model_limits               | text
 tokens                           | allow_ips                  | text
 tokens                           | used_quota                 | bigint
 tokens                           | group                      | text
 tokens                           | deleted_at                 | timestamp with time zone
 tokens                           | cross_group_retry          | boolean
 top_ups                          | id                         | bigint
 top_ups                          | user_id                    | bigint
 top_ups                          | amount                     | bigint
 top_ups                          | money                      | numeric
 top_ups                          | trade_no                   | character varying
 top_ups                          | payment_method             | character varying
 top_ups                          | create_time                | bigint
 top_ups                          | complete_time              | bigint
 top_ups                          | status                     | text
 top_ups                          | payment_provider           | character varying
 two_fa_backup_codes              | id                         | bigint
 two_fa_backup_codes              | user_id                    | bigint
 two_fa_backup_codes              | code_hash                  | character varying
 two_fa_backup_codes              | is_used                    | boolean
 two_fa_backup_codes              | used_at                    | timestamp with time zone
 two_fa_backup_codes              | created_at                 | timestamp with time zone
 two_fa_backup_codes              | deleted_at                 | timestamp with time zone
 two_fas                          | id                         | bigint
 two_fas                          | user_id                    | bigint
 two_fas                          | secret                     | character varying
 two_fas                          | is_enabled                 | boolean
 two_fas                          | failed_attempts            | bigint
 two_fas                          | locked_until               | timestamp with time zone
 two_fas                          | last_used_at               | timestamp with time zone
 two_fas                          | created_at                 | timestamp with time zone
 two_fas                          | updated_at                 | timestamp with time zone
 two_fas                          | deleted_at                 | timestamp with time zone
 user_oauth_bindings              | id                         | bigint
 user_oauth_bindings              | user_id                    | bigint
 user_oauth_bindings              | provider_id                | bigint
 user_oauth_bindings              | provider_user_id           | character varying
 user_oauth_bindings              | created_at                 | timestamp with time zone
 user_subscriptions               | id                         | bigint
 user_subscriptions               | user_id                    | bigint
 user_subscriptions               | plan_id                    | bigint
 user_subscriptions               | amount_total               | bigint
 user_subscriptions               | amount_used                | bigint
 user_subscriptions               | start_time                 | bigint
 user_subscriptions               | end_time                   | bigint
 user_subscriptions               | status                     | character varying
 user_subscriptions               | source                     | character varying
 user_subscriptions               | last_reset_time            | bigint
 user_subscriptions               | next_reset_time            | bigint
 user_subscriptions               | upgrade_group              | character varying
 user_subscriptions               | prev_user_group            | character varying
 user_subscriptions               | created_at                 | bigint
 user_subscriptions               | updated_at                 | bigint
 users                            | id                         | bigint
 users                            | username                   | text
 users                            | password                   | text
 users                            | display_name               | text
 users                            | role                       | bigint
 users                            | status                     | bigint
 users                            | email                      | text
 users                            | github_id                  | text
 users                            | oidc_id                    | text
 users                            | wechat_id                  | text
 users                            | telegram_id                | text
 users                            | access_token               | character
 users                            | quota                      | bigint
 users                            | used_quota                 | bigint
 users                            | request_count              | bigint
 users                            | group                      | character varying
 users                            | aff_code                   | character varying
 users                            | aff_count                  | bigint
 users                            | aff_quota                  | bigint
 users                            | aff_history                | bigint
 users                            | inviter_id                 | bigint
 users                            | deleted_at                 | timestamp with time zone
 users                            | linux_do_id                | text
 users                            | setting                    | text
 users                            | remark                     | character varying
 users                            | stripe_customer            | character varying
 users                            | discord_id                 | text
 users                            | created_at                 | bigint
 users                            | last_login_at              | bigint
 vendors                          | id                         | bigint
 vendors                          | name                       | character varying
 vendors                          | description                | text
 vendors                          | icon                       | character varying
 vendors                          | status                     | bigint
 vendors                          | created_time               | bigint
 vendors                          | updated_time               | bigint
 vendors                          | deleted_at                 | timestamp with time zone
(326 rows)

